,date,text,normalized_text,clean_text
0,2020-04-16,"Thank you very much. Our nation is engaged in a historic battle against the invisible enemy. To win this fight, we have undertaken the greatest national mobilization since World War Two. And that's exactly what it's been.",thank much nation engaged historic battle invisible enemy win fight undertaken greatest national mobilization since world war two exactly,thank much nation engaged historic battle invisible_enemy win fight undertaken greatest national mobilization since world war two exactly
1,2020-04-16,"We've marshaled every instrument of American power, and we've unleashed our most potent weapon of all: the courage of the American people.",marshaled every instrument american power unleashed potent weapon courage american people,marshaled every instrument american power unleashed potent weapon courage american people
2,2020-04-16,"These have been trying times. A cruel virus from a distant land has unfairly claimed thousands of precious American lives. To every citizen who has lost a cherished loved one: Your pain is our pain. We mourn as one national family. Our country has come together. We draw solace from the faith that God has received, and the departed — He has taken the departed into his eternal and loving embrace. They will never be forgotten.",trying time cruel virus distant land unfairly claimed thousand precious american life every citizen lost cherished loved one pain pain mourn one national family country come together draw solace faith god received departed taken departed eternal loving embrace never forgotten,trying time cruel virus distant land unfairly claimed thousand precious american life every citizen lost cherished loved one pain pain mourn one national family country come together draw solace faith god received departed taken departed eternal loving embrace never forgotten
3,2020-04-16,"Over the last weeks and months, millions of Americans have joined together in a shared national sacrifice to halt the spread of this horrible disease. The Army built field hospitals and sports arenas and convention centers. The Army Corps of Engineers is great. Over 20,000 beds in record time.",last week month million american joined together shared national sacrifice halt spread horrible disease army built field hospital sport arena convention center army corp engineer great twenty-thousand bed record time,last week month million american joined together shared national sacrifice halt spread horrible disease army built field hospital sport arena convention center army_corp_engineer great twenty-thousand bed record time
4,2020-04-16,The Navy sailed hospital ships to our biggest cities. Lifesaving supplies and experimental medicines were rushed to the frontlines as we launched a rapid search for groundbreaking treatments and vaccines.,navy sailed hospital ship biggest city lifesaving supply experimental medicine rushed frontlines launched rapid search groundbreaking treatment vaccine,navy sailed hospital ship biggest city lifesaving supply experimental medicine rushed frontlines launched rapid search groundbreaking treatment vaccine
5,2020-04-16,"We built the most advanced and robust testing anywhere in the world, and we've done more testing than any country anywhere in the world.",built advanced robust testing anywhere world done testing country anywhere world,built advanced robust testing anywhere world done testing country anywhere world
6,2020-04-16,We suspended dangerous foreign travel. We leveraged our industrial base to produce vast quantities of critical medical gear and enacted a historic 2-trillion-dollar relief package.,suspended dangerous foreign travel leveraged industrial base produce vast quantity critical medical gear enacted historic two trillion dollar relief package,suspended dangerous foreign travel leveraged industrial base produce vast quantity critical medical gear enacted historic two trillion dollar relief package
7,2020-04-16,"Through it all, we have seen the heroism of our doctors and nurses like never before — these are our warriors — the bravery of our truck drivers — such bravery — and food suppliers — such incredible bravery, and the determination and drive of our citizens. Through this unified national endeavor, we have made great progress. You could really say incredible progress.",seen heroism doctor nurse like never warrior bravery truck driver bravery food supplier incredible bravery determination drive citizen unified national endeavor made great progress could really say incredible progress,seen heroism doctor_nurse like never warrior bravery truck driver bravery food supplier incredible bravery determination drive citizen unified national endeavor made great progress could really say incredible progress
8,2020-04-16,"Our experts and scientists report that our strategy to slow the spread has saved hundreds of thousands of lives. Models predicted between 1.5 million and 2.2 million U.S. deaths — if there was no mitigation, it could have even been higher than that — and between 100,000 and 240,000 deaths with mitigation. It's looking like we will come far under even these lowest numbers.",expert scientist report strategy slow spread saved hundred thousand life model predicted fifteen million twenty-two million yous death mitigation could even higher one-hundred-thousand two-hundred-and-forty-thousand death mitigation looking like come far even lowest number,expert scientist report strategy slow_spread saved hundred_thousand life model predicted fifteen million twenty-two_million yous death mitigation could even higher one-hundred-thousand two-hundred-and-forty-thousand death mitigation looking like come far even lowest number
9,2020-04-16,"Thanks to our all-out military operation and the extraordinary devotion of our people, we believe we will experience far fewer deaths than even the optimistic projection. But there is no such thing as an optimistic projection on death. One person is too many.",thanks military operation extraordinary devotion people believe experience far fewer death even optimistic projection thing optimistic projection death one person many,thanks military_operation extraordinary devotion people believe experience far fewer death even optimistic projection thing optimistic projection death one person many
10,2020-04-16,"Our experts say the curve has flattened and the peak in new cases is behind us. Nationwide, more than 850 counties, or nearly 30 percent of our country, have reported no new cases in the last seven days.",expert say curve flattened peak new case behind nationwide eight-hundred-and-fifty county nearly thirty percent country reported new case last seven day,expert say curve flattened peak new case behind nationwide eight-hundred-and-fifty county nearly thirty percent country reported new case last seven day
11,2020-04-16,"Because of our early and aggressive action, we have avoided the tragedy of healthcare rationing and deadly shortfalls that have befallen many other nations — nations which, wherever possible, we are helping. In America, no person who has needed a ventilator has been denied a ventilator. We're making hundreds of thousands of ventilators. We've delivered thousands and thousands of ventilators to the states.",early aggressive action avoided tragedy healthcare rationing deadly shortfall befallen many nation nation wherever possible helping america person needed ventilator denied ventilator making hundred thousand ventilator delivered thousand thousand ventilator state,early aggressive action avoided tragedy healthcare rationing deadly shortfall befallen many nation nation wherever possible helping america person needed ventilator denied ventilator making hundred_thousand ventilator delivered thousand thousand ventilator state
12,2020-04-16,"And actually, it's been an incredible operation. We started with very little and we ended with a lot. The United States has achieved a significant lower mortality rate than almost all other countries.",actually incredible operation started little ended lot united state achieved significant lower mortality rate almost country,actually incredible operation started little ended lot united_state achieved significant lower mortality_rate almost country
13,2020-04-16,"Based on the latest data, our team of experts now agrees that we can begin the next front in our war, which we're calling, “Opening Up America Again.” And that's what we're doing: We're opening up our country. And we have to do that. America wants to be open, and Americans want to be open.",based latest data team expert agrees begin next front war calling opening america opening country america want open american want open,based latest data team expert agrees begin next front war calling opening america opening country america want open american want open
14,2020-04-16,"As I have said for some time now, a national shutdown is not a sustainable long-term solution. To preserve the health of our citizens, we must also preserve the health and functioning of our economy. Over the long haul, you can't do one without the other. It cannot be done. To keep vital supply chains running, these chains have to be taken care of so delicately. They're delicate. The balance is delicate.",said time national shutdown sustainable long term solution preserve health citizen must also preserve health functioning economy long haul one without done keep vital supply chain running chain taken care delicately delicate balance delicate,said time national shutdown sustainable long term solution preserve health citizen must also preserve health functioning economy long haul one without done keep vital supply_chain running chain taken care delicately delicate balance delicate
15,2020-04-16,"We want to deliver food and medical supply. We must have a working economy. And we want to get it back very, very quickly, and that's what's going to happen. I believe it will boom.",want deliver food medical supply must working economy want get back quickly going happen believe boom,want deliver food medical supply must working economy want get back quickly going happen believe boom
16,2020-04-16,"A prolonged lockdown combined with a forced economic depression would inflict an immense and wide-ranging toll on public health. This includes a sharp rise in drug abuse, alcohol abuse, suicide, heart disease, and many other dimensions of physical and mental wellbeing. Moreover, many patients have put needed medical care on hold, creating entirely new hazards for public health.",prolonged lockdown combined forced economic depression would inflict immense wide ranging toll public health includes sharp rise drug abuse alcohol abuse suicide heart disease many dimension physical mental wellbeing moreover many patient put needed medical care hold creating entirely new hazard public health,prolonged lockdown combined forced economic depression would inflict immense wide ranging toll public_health includes sharp rise drug abuse alcohol abuse suicide heart disease many dimension physical mental wellbeing moreover many patient put needed medical care hold creating entirely new hazard public_health
17,2020-04-16,Our country has suffered. The world has suffered. One hundred and eighty-four other countries have suffered.,country suffered world suffered one hundred eighty four country suffered,country suffered world suffered one hundred_eighty four country suffered
18,2020-04-16,"Therefore, my administration is issuing new federal guidelines that will allow governors to take a phased and deliberate approach to reopening their individual states. I've dealt with them now a long time, and we've had a great relationship — Democrat, Republican. The relationship has been good. This strategy is based on hard, verifiable data.",therefore administration issuing new federal guideline allow governor take phased deliberate approach reopening individual state dealt long time great relationship democrat republican relationship good strategy based hard verifiable data,therefore administration issuing new federal guideline allow governor take phased deliberate approach reopening individual state dealt long time great relationship democrat_republican relationship good strategy based hard verifiable data
19,2020-04-16,"I want to thank Dr. Birx for her incredible leadership in crafting these guidelines in consultation with scientists, experts, and medical professionals across government. Dr. Birx will explain the guidelines in more detail in a few moments. And Dr. Fauci has been absolutely terrific. We've all worked together, and we've worked together well.",want thank dr birx incredible leadership crafting guideline consultation scientist expert medical professional across government dr birx explain guideline detail moment dr fauci absolutely terrific worked together worked together well,want thank dr_birx incredible leadership crafting guideline consultation scientist expert medical professional across government dr_birx explain guideline detail moment dr_fauci absolutely terrific worked together worked together well
20,2020-04-16,"They are interested in the health of our country. And we're all interested in the viability and making us truly great again. We took the greatest economy in the history of the world, and we closed it in order to win this war. And we're in the process of winning it now.",interested health country interested viability making truly great took greatest economy history world closed order win war process winning,interested health country interested viability making truly great took greatest_economy_history world closed order win_war process winning
21,2020-04-16,"Our approach outlines three phases in restoring our economic life. We are not opening all at once, but one careful step at a time. And some states will be able to open up sooner than others. Some states are not in the kind of trouble that others are in.",approach outline three phase restoring economic life opening one careful step time state able open sooner others state kind trouble others,approach outline three phase restoring economic life opening one careful step time state able open sooner others state kind trouble others
22,2020-04-16,"Now that we have passed the peak in new cases, we're starting our life again, we're starting rejuvenation of our economy again, in a safe and structured and very responsible fashion.",passed peak new case starting life starting rejuvenation economy safe structured responsible fashion,passed peak new case starting life starting rejuvenation economy safe structured responsible fashion
23,2020-04-16,"Our strategy will continue to protect senior citizens and other vulnerable populations while allowing military and other groups of incredibly talented people to go about their real business and the business that's supposed to be hard at work at doing. And nobody does it better. Our military is the greatest anywhere in the world, and we're so thankful for what they've done.",strategy continue protect senior citizen vulnerable population allowing military group incredibly talented people go real business business supposed hard work nobody better military greatest anywhere world thankful done,strategy continue protect senior_citizen vulnerable population allowing military group incredibly talented people go real business business supposed hard work nobody better military greatest anywhere world thankful done
24,2020-04-16,"Healthy Americans will now be able to return to work as conditions on the ground allow. Instead of a blanket shutdown, we will pursue a focus on sheltering the highest-risk individuals. So important. We're establishing clear scientific, metric, and — benchmarks on testing, new case growth, and hospital capacity that must be met before advancing to each phase. And that's each phase specifically in the reopening of our country.",healthy american able return work condition ground allow instead blanket shutdown pursue focus sheltering highest risk individual important establishing clear scientific metric benchmark testing new case growth hospital capacity must met advancing phase phase specifically reopening country,healthy american able return work condition ground allow instead blanket shutdown pursue focus sheltering highest risk individual important establishing clear scientific metric benchmark testing new case growth hospital capacity must met advancing phase phase specifically reopening country
25,2020-04-16,"This is a gradual process. As the caseload in a state continues to go down, restrictions can continue to be eased and come off. Throughout the process, citizens will continue to be called upon to use all of their weapons in this war: vigorous hygiene, teleworking when possible, staying at home if you feel sick, maintaining social distance, sanitizing commonly used surfaces, and being highly conscious of their surroundings. Those are our weapons, and they're very powerful weapons indeed.",gradual process caseload state continues go restriction continue eased come throughout process citizen continue called upon use weapon war vigorous hygiene teleworking possible staying home feel sick maintaining social distance sanitizing commonly used surface highly conscious surroundings weapon powerful weapon indeed,gradual process caseload state continues go restriction continue eased come throughout process citizen continue called upon use weapon war vigorous hygiene teleworking possible staying_home feel sick maintaining social distance sanitizing commonly used surface highly conscious surroundings weapon powerful weapon indeed
26,2020-04-16,"Governors will be empowered to tailor an approach that meets the diverse circumstances of their own states. Every state is very different. They're all beautiful. We love them all. But they're very, very different. If they need to remain closed, we will allow them to do that. And if they believe it is time to reopen, we will provide them the freedom and guidance to accomplish that task — and very, very quickly — depending on what they want to do.",governor empowered tailor approach meet diverse circumstance state every state different beautiful love different need remain closed allow believe time reopen provide freedom guidance accomplish task quickly depending want,governor empowered tailor approach meet diverse circumstance state every state different beautiful love different need remain closed allow believe time reopen provide freedom guidance accomplish task quickly depending want
27,2020-04-16,"We are also encouraging states to work together to harmonize their regional efforts. We'll have numerous cases where states have worked and will be working very, very closely together.",also encouraging state work together harmonize regional effort numerous case state worked working closely together,also encouraging state work together harmonize regional effort numerous case state worked working closely together
28,2020-04-16,"As we reopen, we know that there will be continued hardships and challenges ahead. Our goal will be to quickly identify and address any outbreaks and put them out rapidly. If the virus returns in the fall, as some scientists think it may possibly, these guidelines will ensure that our country is up and running so that we can likewise put it out quickly.",reopen know continued hardship challenge ahead goal quickly identify address outbreak put rapidly virus return fall scientist think may possibly guideline ensure country running likewise put quickly,reopen know continued hardship challenge ahead goal quickly identify address outbreak put rapidly virus return fall scientist think may possibly guideline ensure country running likewise put quickly
29,2020-04-16,"At the heart of our strategy is the vital role of medical research, especially for therapies that will significantly improve outcomes for high-risk patients and reduce the need for urgent care. This will be tremendously valuable in allowing life to eventually return to normal. At least 35 clinical trials are already underway, including antiviral therapies, immune therapies, and blood therapies in the form of convalescent plasma. You've all heard about some of these events and some of these therapies. They've come a long way. What's been done in the last four weeks is incredible.",heart strategy vital role medical research especially therapy significantly improve outcome high risk patient reduce need urgent care tremendously valuable allowing life eventually return normal least thirty-five clinical trial already underway including antiviral therapy immune therapy blood therapy form convalescent plasma heard event therapy come long way done last four week incredible,heart strategy vital role medical research especially therapy significantly improve outcome high risk patient reduce need urgent care tremendously valuable allowing life eventually return normal least thirty-five clinical_trial already underway including antiviral_therapy immune therapy blood therapy form convalescent_plasma heard event therapy come long way done last four week incredible
30,2020-04-16,"We will also continue to expand our testing capacity. We have now completed more than 3.5 million tests — by far the most anywhere in the world. Areas of our country that have been hotspots have done much more testing, on a per capita basis, than South Korea. We've done more than South Korea — and South Korea has done a good job, but we've done more.",also continue expand testing capacity completed thirty-five million test far anywhere world area country hotspot done much testing per caput basis south korea done south korea south korea done good job done,also continue expand testing capacity completed thirty-five million test far anywhere world area country hotspot done much testing per caput basis south_korea done south_korea south_korea done good job done
31,2020-04-16,"We will continue to work with governors to advise them on how to conduct both surveillance and diagnostic testing. We have now distributed over 600,000 Abbott ID NOW point-of-care diagnostic tests. These are tests that are done on site, and, within five minutes, you know the answer: positive or negative.",continue work governor advise conduct surveillance diagnostic testing distributed six-hundred-thousand abbott id point care diagnostic test test done site within five minute know answer positive negative,continue work governor advise conduct surveillance diagnostic testing distributed six-hundred-thousand abbott id point care diagnostic test test done site within five_minute know answer positive negative
32,2020-04-16,"In recent days, we have seen a dramatic increase in the number of tests performed by hospitals and academic institutions, with more than 120,000 tests recently reported in a single day — far more than any country in the world has ever been able to do. And our numbers are actually going up.",recent day seen dramatic increase number test performed hospital academic institution one-hundred-and-twenty-thousand test recently reported single day far country world ever able number actually going,recent day seen dramatic increase number test performed hospital academic institution one-hundred-and-twenty-thousand test recently reported single day far country world ever able number actually going
33,2020-04-16,"As these new and better testing solutions come online, we're seeing this additional capacity reflected in the numbers. For this reason, the number of tests processed in commercial laboratories has dropped from approximately 100,000 to roughly 75,000 tests over the last week. The reason it dropped is because we have so many other tests and we don't even have to go through the laboratories. But the laboratories have tremendous additional capacity, and states feel free to use that capacity.",new better testing solution come online seeing additional capacity reflected number reason number test processed commercial laboratory dropped approximately one-hundred-thousand roughly seventy-five-thousand test last week reason dropped many test even go laboratory laboratory tremendous additional capacity state feel free use capacity,new better testing solution come online seeing additional capacity reflected number reason number test processed commercial laboratory dropped approximately one-hundred-thousand roughly seventy-five-thousand test last week reason dropped many test even go laboratory laboratory tremendous additional capacity state feel free use capacity
34,2020-04-16,"Some in the media falsely reported this as a bad thing, when, in fact, it is a great thing because it indicates that the states are moving to faster, more local testing solutions, including on-the-spot tests.",medium falsely reported bad thing fact great thing indicates state moving faster local testing solution including spot test,medium falsely reported bad thing fact great thing indicates state moving faster local testing solution including spot test
35,2020-04-16,"So this drop in the utilization of commercial laboratories is an affirmation that testing, which is at an all-time high, is growing at a historic rate. In other words, the laboratories are great, but now we have forms of testing that are much quicker, much better, and we don't have to use the laboratories. But they're there, and they have a great capacity to do the work.",drop utilization commercial laboratory affirmation testing time high growing historic rate word laboratory great form testing much quicker much better use laboratory great capacity work,drop utilization commercial laboratory affirmation testing time high growing historic rate word laboratory great form testing much quicker much better use laboratory great capacity work
